group_souffle,negation_control,negation,negation trouvé
vous savez euh,F,F,o
enfin,F,F,o
tout le monde euh tout le monde,F,F,o
NPERS par exemple quand vous écoutez ses causeries enfin,F,F,o
hein,F,F,o
maître NPERS ben quand même on a beau dire c' est quand même,F,F,o
des gens qui savent s' exprimer,F,F,o
oui,F,F,o
oui,F,F,o
ah je crois que tout le monde sait s' exprimer hein,F,F,o
oui mais enfin je veux dire par là euh,F,F,o
euh,F,F,o
on ressent,F,F,o
ce qu' ils disent mais on n' est pas capable de l' exprimer soi -même souvent quoi,V,V,"[""n ' est"", 'est pas']"
oui,F,F,o
oui,F,F,o
moi je crois que,F,F,o
oui,F,F,o
chacun chacun se,F,F,o
débrouille quand même,F,F,o
ah oui oui,F,F,o
dans la vie,F,F,o
oui,F,F,o
non mais enfin euh vous savez,F,F,o
i- justement ce qui est intéressant c' est la variété,F,F,o
voilà,F,F,o
oui bien sûr,F,F,o
n' est -ce pas ?,F,F,o
oui oui,F,F,o
de,F,F,o
faut pas croire que quand même,V,F,o
c' est ça,F,F,o
parce que le français officiel euh de la radio des discours de des grands occasions,F,F,o
oui ça vous vous,F,F,o
n' est -ce pas on a,F,V,"[""n'est-ce pas""]"
à même de le quand vous voudrez,F,F,o
c' est ça évidemment,F,F,o
alors que les gens qui parlent spontanément,F,F,o
oui c' est,F,F,o
ça,F,F,o
comme ils,F,F,o
parlent tout le m- tout tous les jours avec leurs,F,F,o
voilà,F,F,o
amis,F,F,o
et caetera ça c' est ça c' est beaucoup,F,F,o
c' est ça,F,F,o
plus difficile à,F,F,o
oui c' est possible,F,F,o
oui,F,F,o
bon alors je je vais d- vous poser des questions d' abord,F,F,o
sur un,F,F,o
oui,F,F,o
un questionnaire,F,F,o
qui,F,F,o
je vous demanderai de,F,F,o
enfin de dire ce que vous pensez,F,F,o
plus ou moins librement,F,F,o
après je,F,F,o
oui,F,F,o
vous poserai des questions peut-être un peu plus précises et,F,F,o
plus,F,F,o
hum,F,F,o
concises,F,F,o
oui,F,F,o
euh et ensuite je vous demanderai quelques détails n' est -ce pas pour la la,V,V,"[""n'est-ce pas""]"
documentation des fiches,F,F,o
oui bien sûr oui,F,F,o
eh bien,F,F,o
euh hum,F,F,o
alors monsieur NPERS depuis quand habitez -vous à Orléans ?,F,F,o
eh bien euh depuis l' âge de trois ans depuis ma plus petite enfance,F,F,o
oui,F,F,o
et alors c' est pas la peine peut-être de vous demander ce qui vous a amené à vivre à Orléans ?,V,V,['est pas']
non,F,F,o
ah non puisque c' est mes parents que,F,F,o
enfin c' est ma mère mon père a été tué à la guerre de quatorze,F,F,o
oui,F,F,o
ma mère se trouvant seule elle est venue à la grande ville vous comprenez pour pouvoir euh y travailler,F,F,o
alors que étant je suis natif de Houque-la-Joyeuse,F,F,o
je sais pas si vous connaissez,V,V,['sais pas']
non,F,F,o
euh c' est entre Marchenoire et Beaugency,F,F,o
oui,F,F,o
